,Date,Actual,Consensus,Difference
0,2023-10-17 15:30:00,-0.1,0.1,-0.200000
1,2023-09-19 15:30:00,0.4,0.2,0.200000
2,2023-08-15 15:30:00,0.6,0.3,0.300000
3,2023-07-18 15:30:00,0.1,0.3,-0.200000
4,2023-06-27 15:30:00,0.4,0.5,-0.100000
5,2023-05-16 15:30:00,0.7,0.4,0.300000
6,2023-04-18 15:30:00,0.5,0.5,0.000000
7,2023-03-21 15:30:00,0.4,0.5,-0.100000
8,2023-02-21 15:30:00,0.5,0.7,-0.200000
9,2023-01-17 15:30:00,-0.6,-0.5,-0.100000
10,2022-12-21 15:30:00,0.1,-0.1,0.200000
11,2022-11-16 15:30:00,0.7,0.7,0.000000
12,2022-10-19 15:30:00,0.1,-0.1,0.200000
13,2022-09-20 15:30:00,-0.3,-0.1,-0.200000
14,2022-08-16 15:30:00,0.1,0.1,0.000000
15,2022-07-20 15:30:00,0.7,0.9,-0.200000
16,2022-06-22 15:30:00,1.4,1.0,0.400000
17,2022-05-18 15:30:00,0.6,0.5,0.100000
18,2022-04-20 15:30:00,1.4,1.0,0.400000
19,2022-03-16 15:30:00,1.0,0.9,0.100000
20,2022-02-16 15:30:00,0.9,0.6,0.300000
21,2022-01-19 15:30:00,-0.1,-0.1,0.000000
22,2021-12-15 15:30:00,0.2,0.2,0.000000
23,2021-11-17 15:30:00,0.7,0.7,0.000000
24,2021-10-20 15:30:00,0.2,0.1,0.100000
25,2021-09-15 15:30:00,0.2,0.1,0.100000
26,2021-08-18 15:30:00,0.6,0.3,0.300000
27,2021-07-28 15:30:00,0.3,0.4,-0.100000
28,2021-06-16 15:30:00,0.5,0.4,0.100000
29,2021-05-19 15:30:00,0.5,0.4,0.100000
30,2021-04-21 15:30:00,0.5,0.6,-0.100000
31,2021-03-17 15:30:00,0.5,0.7,-0.200000
32,2021-02-17 15:30:00,0.6,0.4,0.200000
33,2020-12-16 15:30:00,0.1,0.2,-0.100000
34,2020-11-18 15:30:00,0.4,0.2,0.200000
35,2020-10-21 15:30:00,-0.1,-0.1,0.000000
36,2020-09-16 15:30:00,-0.1,0.1,-0.200000
37,2020-08-19 15:30:00,0.0,0.4,-0.400000
38,2020-07-22 15:30:00,0.8,0.4,0.400000
39,2020-06-17 15:30:00,0.3,0.7,-0.400000
40,2020-05-20 15:30:00,-0.7,-0.6,-0.100000
41,2020-04-22 15:30:00,-0.6,-0.4,-0.200000
42,2020-03-18 15:30:00,0.4,0.4,0.000000
43,2020-02-19 15:30:00,0.3,0.2,0.100000
44,2020-01-22 15:30:00,0.0,0.1,-0.100000
45,2019-12-18 15:30:00,-0.1,-0.1,0.000000
46,2019-11-20 15:30:00,0.3,0.3,0.000000
47,2019-10-16 15:30:00,-0.4,-0.2,-0.200000
48,2019-09-18 15:30:00,-0.1,-0.2,0.100000
49,2019-08-21 15:30:00,0.5,0.2,0.300000
50,2019-07-17 15:30:00,-0.2,-0.3,0.100000
51,2019-06-19 15:30:00,0.4,0.1,0.300000
52,2019-05-15 15:30:00,0.4,0.4,0.000000
53,2019-04-17 15:30:00,0.7,0.7,0.000000
54,2019-03-22 15:30:00,0.7,0.6,0.100000
55,2019-02-27 15:30:00,0.1,0.2,-0.100000
56,2019-01-18 15:30:00,-0.1,-0.4,0.300000
57,2018-12-19 15:30:00,-0.4,-0.4,0.000000
58,2018-11-23 15:30:00,0.3,0.1,0.200000
59,2018-10-19 15:30:00,-0.4,-0.1,-0.300000
60,2018-09-21 15:30:00,-0.1,-0.1,0.000000
61,2018-08-17 15:30:00,0.5,0.1,0.400000
62,2018-07-20 15:30:00,0.1,0.1,0.000000
63,2018-06-22 15:30:00,0.1,0.4,-0.300000
64,2018-05-18 15:30:00,0.3,0.4,-0.100000
65,2018-04-20 15:30:00,0.3,0.4,-0.100000
66,2018-03-23 15:30:00,0.6,0.5,0.100000
67,2018-02-23 15:30:00,0.7,0.4,0.300000
68,2018-01-26 15:30:00,-0.4,-0.3,-0.100000
69,2017-12-21 15:30:00,0.3,0.2,0.100000
70,2017-11-17 15:30:00,0.1,0.1,0.000000
71,2017-10-20 15:30:00,0.2,0.3,-0.100000
72,2017-09-22 15:30:00,0.1,0.2,-0.100000
73,2017-08-18 15:30:00,0.0,0.1,-0.100000
74,2017-07-21 15:30:00,-0.1,-0.1,0.000000
75,2017-06-23 15:30:00,0.1,0.2,-0.100000
76,2017-05-19 15:30:00,0.4,0.4,0.000000
77,2017-04-21 15:30:00,0.2,0.4,-0.200000
78,2017-03-24 15:30:00,0.2,0.2,0.000000
79,2017-02-24 15:30:00,0.9,0.3,0.600000
80,2017-01-20 15:30:00,-0.2,-0.1,-0.100000
81,2016-12-22 15:30:00,-0.4,-0.2,-0.200000
82,2016-11-18 15:30:00,0.2,0.2,0.000000
83,2016-10-21 15:30:00,0.1,0.2,-0.100000
84,2016-09-23 15:30:00,-0.2,0.1,-0.300000
85,2016-08-19 15:30:00,-0.2,-0.1,-0.100000
86,2016-07-22 15:30:00,0.2,0.1,0.100000
87,2016-06-17 15:30:00,0.4,0.5,-0.100000
88,2016-05-20 15:30:00,0.3,0.3,0.000000
89,2016-04-22 15:30:00,0.6,0.6,0.000000
90,2016-03-18 15:30:00,0.2,0.4,-0.200000
91,2016-02-19 15:30:00,0.2,-0.1,0.300000
92,2016-01-22 15:30:00,-0.5,-0.4,-0.100000
93,2015-12-18 15:30:00,-0.1,0.1,-0.200000
94,2015-11-20 15:30:00,0.1,0.1,0.000000
95,2015-10-23 15:30:00,-0.2,-0.1,-0.100000
96,2015-09-18 15:30:00,0.0,0.1,-0.100000
97,2015-08-21 15:30:00,0.1,0.1,0.000000
98,2015-07-17 15:30:00,0.2,0.2,0.000000
99,2015-06-19 15:30:00,0.6,0.5,0.100000
100,2015-05-22 15:30:00,-0.1,0.1,-0.200000
101,2015-04-17 15:30:00,0.7,0.5,0.200000
102,2015-03-20 15:30:00,0.9,0.7,0.200000
103,2015-02-26 15:30:00,-0.2,-0.3,0.100000
